portfolio_asset_id,country,sub_region_name,development_status,property_type_code,asset_size_m2,en_abs,en_int_kwh_m2
888187,41,9,1,241,6895.26066,1058732.84,153.545006085383
888192,41,9,1,241,11380.803306,3886127.19,341.463347139232
888194,41,9,1,241,3221.87604,1143310.56,354.858643164931
888195,41,9,1,241,3180.06969,623046.0,195.922121442565
888199,41,9,1,241,3716.12,1028444.55,276.752244276288
888205,41,9,1,241,7599.4654,1334597.45,175.61728092084
888210,41,9,1,241,4422.1828,1043536.16,235.977617207502
888218,41,9,1,241,4849.815309,1169308.0975758,241.10363448395
888221,41,9,1,241,3641.7976,803697.91,220.687143623797
888223,41,9,1,241,9383.203,2436740.235073,259.691731605189
888235,41,9,1,241,4145.796375,887527.87,214.078982593543
888236,41,9,1,241,2787.09,441193.73,158.29906102781
888239,41,9,1,241,5124.52948,1397695.339586,272.746082355643
888243,41,9,1,241,3483.8625,421011.99,120.84632789038
888244,41,9,1,241,3483.8625,414618.0,119.011011485097
888245,41,9,1,241,3483.8625,454723.33,130.522754557621
888257,41,9,1,241,4652.58224,98500.13023205,21.1710669797961
888263,41,9,1,241,4652.58224,107344.58727,23.0720450994113
888265,41,9,1,241,4652.58224,123326.61390688,26.5071325008712
888274,41,9,1,241,11264.581653,2028538.885934,180.081156000477
888300,41,9,1,241,3044.802922,1259874.97,413.778823219351
888306,41,9,1,241,4227.0865,980270.33,231.902122182737
888319,41,9,1,241,15672.7361,2810983.8,179.35501383195
888320,41,9,1,241,5202.568,1618711.2,311.136961592813
888321,41,9,1,241,9199.905381,1770467.69,192.444119442406
888323,41,9,1,241,9204.82924,1658871.44,180.2175137363
888324,41,9,1,241,10255.840879,1880059.63,183.315990583438
888325,41,9,1,241,10451.122985,1935349.18,185.180978424779
888327,41,9,1,241,2943.16704,356659.3,121.18214669868
888328,41,9,1,241,3478.28832,1094839.0,314.763728384656
